Scenario,GCM,global_mean_deviation_degC,1_dev_degC,2_dev_degC,3_dev_degC,4_dev_degC,5_dev_degC,6_dev_degC,7_dev_degC,8_dev_degC,9_dev_degC,10_dev_degC,11_dev_degC,12_dev_degC,13_dev_degC,14_dev_degC,15_dev_degC,16_dev_degC,17_dev_degC,18_dev_degC,19_dev_degC,all_dev_degC
ssp126,GFDL-ESM4,1.6249229168936439,2.5089075491241575,2.4367806915818817,3.2592623250469246,2.790312228815634,1.7062639842207603,0.5029854398399664,2.7382601997893685,1.4584359554655522,3.86957420090238,2.438944826784089,1.9642126381746976,2.1964707510335244,1.9519438989511968,1.9759878202381032,1.7925598316556886,1.7810695232431697,1.2900856110464674,1.375255006821888,1.2815173014229146,2.023293834784397
ssp126,INM-CM4-8,1.4342038940860875,2.4010167927171295,2.1350539513467255,1.941459355381592,2.2356720827032177,1.7560681176446251,1.3551838167571901,1.5093419147651475,1.530065402745376,2.15050674985483,2.3291685803800846,1.833146294339508,1.9624337573994495,2.0388720567150016,2.0757250060071017,1.740220665774339,1.3693285644425175,1.2541477704853805,1.2506181363758657,1.1035616775844743,1.84345917834452
ssp126,INM-CM5-0,1.508777107504531,1.5461339306265613,2.001231745039141,2.7516967094062608,2.9205899658191443,2.5007861764268484,2.496621743691179,3.09244558610431,2.6275296500052576,3.6882597039240324,2.3409664836981903,2.148865927686444,1.8358752011138506,2.067201788425538,2.0170773519240526,1.8008762630453474,1.3442313683050542,1.1717262518047022,1.2860563536192047,1.2235760032943517,1.9577588297023738
ssp126,MPI-ESM1-2-HR,1.5980092735342453,2.338102233056978,1.8102308596846313,3.3216788038455576,2.815897255835631,2.606762592405951,2.1714623641010062,5.534908989671072,2.352416702151257,5.126578284866301,2.753541164569583,1.6775693983800068,2.036000180013036,1.7890977990523595,1.8571461113166776,1.6562423190905604,1.5584877464833595,1.2705658283068941,1.4856861520080344,1.771898876519583,2.1339843840823933
ssp126,MRI-ESM2-0,1.8887187667861582,2.288144441955862,2.277120896776091,4.06727627330811,3.70310496791794,2.8968663414159637,2.036159689566145,5.61118444722257,1.197390901336243,4.824015282244039,2.2160522935132603,1.9028890736448716,2.394780921371563,2.0631482610226923,2.121790799052235,2.1144289508040743,2.0738001112385662,1.6229127979298852,1.628419060419077,2.186954677965903,2.3503834612029464
ssp126,NorESM2-MM,1.644564184023929,2.710008271072559,2.3993107409453898,2.6810445547151076,3.2714240140113846,1.7458285242314333,-0.3857039955428888,2.287035481588896,1.2277846489509643,2.7975041312847564,2.6440471846554203,2.1606146000966704,2.234305831171048,2.361412047150927,2.24115679613829,2.08752490243821,1.8846978718521399,1.3315334082166685,1.333745330602929,1.0560397868883655,2.125927087638888
ssp245,BCC-CSM2-MR,2.647136745723395,4.326457114904701,3.918875678424874,5.074713677848661,4.260280006690934,3.9787562778633743,3.7643818519441767,6.0789520290007975,3.580403429488507,5.887166744448467,4.72805252398368,3.139490194662744,3.7574488077927413,3.698429614002009,3.896152408135211,3.1143342677799324,2.8980715848415657,2.2476687549978975,2.1284105934023785,2.9661652138861228,3.748906405949654
ssp245,CESM2,3.2252588219192146,4.01955347353398,3.8834012899562795,6.258116086291733,5.786282008372362,2.7162478439437505,-0.4591306541521988,3.741283725186392,1.2886307475859353,4.341994143932263,4.350730278842809,3.429571020554559,3.5362254582347132,3.907956252213077,3.500528065616183,3.5285840366027488,3.8812003895010974,3.041804524577111,3.1318645056306793,4.5332136848742834,3.834363217457556
ssp245,CESM2-WACCM,3.282756739923562,4.8886498716388305,4.399955898666866,6.582391809260258,5.616294168387446,3.527663795473032,1.1216215098976903,5.58331063947954,2.1324246965151756,5.779812705064307,4.125358877133555,3.3323508062527765,3.4084458329933596,3.8614454608650703,3.646394027865918,3.5365366120491073,3.7863400971543086,3.186364603753847,2.890884615823859,4.803868382544468,4.086591602550442
ssp245,EC-Earth3,3.286738070691166,4.446322474299163,4.61983058996554,7.785594315233181,7.739554884789479,7.167584680255007,6.120914495084622,12.329508483937218,5.410449684637465,12.19261826323004,5.691460094853872,4.181628641243398,4.833235486329864,4.468025211437274,5.048899516548142,4.290990639526413,3.4459828835335173,2.90658761349313,2.659622063858035,3.0017602159443184,5.055618284610577
